4472,4553,975,0
4472,4537,944,1
4472,4342,768,2
4472,4314,746,3
4473,3803,3739,0
4473,3778,3751,1
4473,3398,4047,2
4473,3301,4135,3
4474,4317,258,0
4474,4306,220,1
4477,7431,1680,0
4477,7465,1669,1
4477,7724,2142,2
4477,7764,2264,3
4477,7867,1796,0
4478,2698,210,0
4478,2662,166,1
4480,5784,5354,0
4481,7212,2719,0
4481,7240,2718,1
4481,7429,2815,2
4481,7469,2859,3
4482,7829,3534,0
4482,7868,3548,1
4482,8005,3608,2
4482,8022,3626,3
4485,7325,3762,0
4485,7356,3779,1
4485,7039,3454,2
4485,6940,3343,3
4488,8838,5349,0
4489,2361,3055,0
4489,2314,3063,1
4489,1704,3574,2
4489,1586,3702,3
4490,5458,4627,0
4490,5463,4660,1
4490,5419,4888,2
4490,5411,4918,3
4491,5645,5126,0
4491,5643,5158,1
4492,3035,2338,0
4492,2995,2335,1
4493,3234,1112,0
4493,3200,1082,1
4493,2958,871,2
4493,2897,826,3
4494,6416,4774,0
4494,6437,4823,1
4472,4553,975,0
4472,4537,944,1
4472,4342,768,2
4472,4314,746,3
4473,3803,3739,0
4473,3778,3751,1
4473,3398,4047,2
4473,3301,4135,3
4474,4317,258,0
4474,4306,220,1
4477,7431,1680,0
4477,7465,1669,1
4477,7724,2142,2
4477,7764,2264,3
4477,7867,1796,0
4478,2698,210,0
4478,2662,166,1
4480,5784,5354,0
4481,7212,2719,0
4481,7240,2718,1
4481,7429,2815,2
4481,7469,2859,3
4482,7829,3534,0
4482,7868,3548,1
4482,8005,3608,2
4482,8022,3626,3
4485,7325,3762,0
4485,7356,3779,1
4485,7039,3454,2
4485,6940,3343,3
4488,8838,5349,0
4489,2361,3055,0
4489,2314,3063,1
4489,1704,3574,2
4489,1586,3702,3
4490,5458,4627,0
4490,5463,4660,1
4490,5419,4888,2
4490,5411,4918,3
4491,5645,5126,0
4491,5643,5158,1
4492,3035,2338,0
4492,2995,2335,1
4493,3234,1112,0
4493,3200,1082,1
4493,2958,871,2
4493,2897,826,3
4494,6416,4774,0
4494,6437,4823,1
4472,4553,975,0
4472,4537,944,1
4472,4342,768,2
4472,4314,746,3
4473,3803,3739,0
4473,3778,3751,1
4473,3398,4047,2
4473,3301,4135,3
4474,4317,258,0
4474,4306,220,1
4477,7431,1680,0
4477,7465,1669,1
4477,7724,2142,2
4477,7764,2264,3
4477,7867,1796,0
4478,2698,210,0
4478,2662,166,1
4480,5784,5354,0
4481,7212,2719,0
4481,7240,2718,1
4481,7429,2815,2
4481,7469,2859,3
4482,7829,3534,0
4482,7868,3548,1
4482,8005,3608,2
4482,8022,3626,3
4485,7325,3762,0
4485,7356,3779,1
4485,7039,3454,2
4485,6940,3343,3
4488,8838,5349,0
4489,2361,3055,0
4489,2314,3063,1
4489,1704,3574,2
4489,1586,3702,3
4490,5458,4627,0
4490,5463,4660,1
4490,5419,4888,2
4490,5411,4918,3
4491,5645,5126,0
4491,5643,5158,1
4492,3035,2338,0
4492,2995,2335,1
4493,3234,1112,0
4493,3200,1082,1
